userid	post	ques	ans	asker	ans1	severity1	ans2	severity2	ans3	severity3
aguitarplayer94	Q: what&#039;s your favorite song? :D<br>A: I like too many songs to have a favorite	what&#039;s your favorite song? :D<br>	 I like too many songs to have a favorite	None	No	0	No	0	No	0
aprilpooh15	Q: <3<br>A: </3 ? haha jk! <33	<3	 </3 ? haha jk! <33	None	No	0	No	0	No	0
aprilpooh15	Q: &quot;hey angel  you duh sexy&quot;<br>A: Really?!?! Thanks?! haha	&quot;hey angel  you duh sexy&quot;	 Really?!?! Thanks?! haha	None	No	0	No	0	No	0
aprilpooh15	Q: (:<br>A: ;(	(:	 ;(	None	No	0	No	0	No	0
aprilpooh15	Q: ******************MEOWWW*************************<br>A: *RAWR*?	******************MEOWWW*************************	 *RAWR*?	None	No	0	No	0	No	0
aprilpooh15	Q: any makeup tips? i suck at doing my makeup lol<br>A: Sure! Like tell me wht u wnna know?! Like wht do you use?!	any makeup tips? i suck at doing my makeup lol	 Sure! Like tell me wht u wnna know?! Like wht do you use?!	None	No	0	No	0	No	0
aprilpooh15	Q: Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha<br>A: EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333	Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha	 EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333	JustinBSource	No	0	No	0	No	0
aprilpooh15	Q: Are you a morning or night person?<br>A: Night 4shuree!!	Are you a morning or night person?	 Night 4shuree!!	None	No	0	No	0	No	None
aprilpooh15	Q: are you a trusting person?<br>A: alreadi answrd	are you a trusting person?	 alreadi answrd	None	No	0	No	0	No	0
aprilpooh15	Q: are you a trusting person?<br>A: Yes veryy trustin person!!! May i help yuh:!	are you a trusting person?	 Yes veryy trustin person!!! May i help yuh:!	None	No	0	No	0	No	0
aprilpooh15	Q: Are you and @TruAce best friends?<br>A: Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk	Are you and @TruAce best friends?	 Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk	None	No	0	No	0	No	0
aprilpooh15	Q: Are you more of a talker or more of a listener?<br>A: Listener definitely chuz i get cut off alot so i just listen or ignore pplz!	Are you more of a talker or more of a listener?	 Listener definitely chuz i get cut off alot so i just listen or ignore pplz!	None	No	None	No	0	No	0
