label,full_text
Non-offensive,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
Offensive,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
Offensive,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
Offensive,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
Offensive,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
Offensive,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
Offensive,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
Offensive,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
Offensive,""" &amp; you might not get ya bitch back &amp; thats that """
Offensive,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
Offensive,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
Offensive,""" Murda Gang bitch its Gang Land """
Offensive,""" So hoes that smoke are losers ? "" yea ... go on IG"
Offensive,""" bad bitches is the only thing that i like """
Offensive,""" bitch get up off me """
Offensive,""" bitch nigga miss me with it """
Offensive,""" bitch plz whatever """
Offensive,""" bitch who do you love """
Offensive,""" bitches get cut off everyday B """
Offensive,""" black bottle &amp; a bad bitch """
Offensive,""" broke bitch cant tell me nothing """
Offensive,""" cancel that bitch like Nino """
Offensive,""" cant you see these hoes wont change """
Offensive,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
Offensive,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
Offensive,""" her pussy lips like Heaven doors "" &#128524;"
Offensive,""" hoe what its hitting for """
Offensive,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
